%year,month,precipitation anomalies, PDSI
1948,1,-0.21725,-0.14
1948,2,2.5791,0.79
1948,3,0.93304,1.02
1948,4,-1.3961,-0.56
1948,5,-0.35783,-0.55
1948,6,0.55855,0.14
1948,7,0.18478,0.33
1948,8,0.80493,0.71
1948,9,-2.7383,-0.75
1948,10,-1.48,-0.96
1948,11,1.5843,0.35
1948,12,-0.58493,0.22
1949,1,6.3728,1.88
1949,2,-0.07087,1.58
1949,3,0.90304,1.72
1949,4,-2.1161,1.03
1949,5,-0.54783,0.7
1949,6,1.3286,1
1949,7,0.56478,1.3
1949,8,-0.12507,1.38
1949,9,-0.83826,1.22
1949,10,5.09,2.66
1949,11,-4.2357,1.52
1949,12,0.66507,1.59
1950,1,6.2628,2.98
1950,2,2.6491,3.39
1950,3,-0.076957,3.09
1950,4,-1.7161,2.44
1950,5,2.0322,2.72
1950,6,-0.43145,2.33
1950,7,2.6648,3.23
1950,8,3.7149,4.61
1950,9,1.6317,5.12
1950,10,-1.91,-0.22
1950,11,-2.2457,-0.5
1950,12,-3.0549,-1.16
1951,1,2.0428,-0.52
1951,2,1.1791,-0.16
1951,3,-2.417,-0.85
1951,4,-0.61609,-0.78
1951,5,-3.5478,-1.6
1951,6,2.7286,0.77
1951,7,2.0448,1.5
1951,8,-0.69507,1.36
1951,9,1.0417,1.65
1951,10,0.01,1.63
1951,11,0.68435,1.86
1951,12,-0.31493,1.66
1952,1,0.22275,1.42
1952,2,0.07913,1.15
1952,3,0.59304,1.27
1952,4,0.79391,1.52
1952,5,-1.2878,-0.3
1952,6,-3.4414,-1.59
1952,7,-1.3552,-2.48
1952,8,-0.055072,-2.63
1952,9,-1.7083,-2.89
1952,10,-3.11,-3.31
1952,11,2.4243,0.5
1952,12,-0.68493,0.36
1953,1,0.072754,0.25
1953,2,-0.43087,0
1953,3,2.413,0.59
1953,4,2.3439,1.37
1953,5,2.5722,1.9
1953,6,-3.2714,-1.31
1953,7,0.88478,-1.38
1953,8,-1.7651,-2.07
1953,9,-2.8083,-2.86
1953,10,-2.43,-3.36
1953,11,-2.3957,-3.79
1953,12,-1.1349,-3.93
1954,1,2.4328,-3.12
1954,2,-1.4509,-3.45
1954,3,-2.917,-3.94
1954,4,-1.0661,-4.02
1954,5,0.35217,-3.29
1954,6,-2.5714,-3.87
1954,7,-2.2952,-4.8
1954,8,-1.7451,-5.46
1954,9,-1.3083,-5.56
1954,10,0.83,-4.82
1954,11,-3.1057,-5.16
1954,12,0.11507,-4.75
1955,1,-2.0172,-4.84
1955,2,0.71913,-4.16
1955,3,0.86304,-3.51
1955,4,-0.16609,-3.33
1955,5,1.0722,-2.78
1955,6,-0.25145,-2.39
1955,7,-0.065217,-2.04
1955,8,-0.39507,-1.88
1955,9,-0.63826,-1.95
1955,10,-1.33,-2.06
1955,11,-2.6057,-2.58
1955,12,-3.2349,-3.37
1956,1,-0.32725,-3.45
1956,2,4.7091,-1.74
1956,3,-2.457,-2.28
1956,4,-0.50609,-2.08
1956,5,-1.8278,-2.47
1956,6,-0.10145,-2.24
1956,7,-0.86522,-2.38
1956,8,-0.97507,-2.68
1956,9,-2.6883,-3.25
1956,10,-1.11,-3.36
1956,11,-0.65565,-3.31
1956,12,-1.6749,-3.64
1957,1,2.4428,0.56
1957,2,1.2691,0.72
1957,3,-0.82696,0.47
1957,4,6.8739,2.39
1957,5,3.1122,2.94
1957,6,1.7186,3.19
1957,7,0.21478,3.2
1957,8,1.2549,3.58
1957,9,1.0817,3.82
1957,10,0.73,4.04
1957,11,4.5543,5.13
1957,12,-1.1649,4.3
1958,1,-0.66725,3.67
1958,2,-1.8209,2.77
1958,3,0.64304,2.86
1958,4,2.2339,3.29
1958,5,1.9722,3.5
1958,6,2.0786,3.82
1958,7,1.9648,4.4
1958,8,0.094928,4.47
1958,9,2.9617,5.13
1958,10,-2.37,4.37
1958,11,1.0443,4.36
1958,12,-3.4049,-0.81
1959,1,-1.3572,-1.1
1959,2,0.69913,-0.81
1959,3,-0.80696,-0.94
1959,4,-1.3961,-1.18
1959,5,-1.9578,-1.7
1959,6,1.0986,0.37
1959,7,1.5648,1.12
1959,8,-0.33507,1.2
1959,9,0.56174,1.32
1959,10,-0.11,1.31
1959,11,-1.6857,0.91
1959,12,1.3151,1.23
1960,1,-0.037246,-0.03
1960,2,-0.59087,-0.19
1960,3,-1.647,-0.39
1960,4,-2.7461,-1.16
1960,5,0.67217,0.26
1960,6,1.4386,0.73
1960,7,-0.38522,0.86
1960,8,-0.085072,0.96
1960,9,-0.56826,-0.16
1960,10,-0.43,-0.22
1960,11,-1.8257,-0.68
1960,12,1.1751,-0.26
1961,1,-2.4872,-0.89
1961,2,0.95913,0.18
1961,3,3.423,1.11
1961,4,-1.8961,0.61
1961,5,2.0622,1.24
1961,6,-0.68145,1.06
1961,7,2.2048,1.95
1961,8,0.44493,2.36
1961,9,-0.85826,2.08
1961,10,-1.98,1.51
1961,11,2.0343,1.94
1961,12,1.9651,2.43
1962,1,1.2828,2.54
1962,2,1.4691,2.58
1962,3,-0.76696,-0.11
1962,4,-1.9461,-0.52
1962,5,-3.1378,-1.5
1962,6,1.3486,0.32
1962,7,-0.50522,-0.22
1962,8,-0.065072,-0.29
1962,9,2.2117,0.76
1962,10,0.73,1.02
1962,11,-2.5157,-0.47
1962,12,-2.8349,-1.12
1963,1,-2.7272,-1.72
1963,2,-2.4309,-2.28
1963,3,-0.35696,-2.3
1963,4,-1.3061,-2.52
1963,5,-1.9078,-2.77
1963,6,-0.76145,-2.77
1963,7,1.0448,-2.18
1963,8,-1.4651,-2.43
1963,9,-1.8983,-2.77
1963,10,-3.71,-3.78
1963,11,-0.60565,-3.76
1963,12,-1.5949,-3.85
1964,1,-2.3972,-4.18
1964,2,-0.95087,-4.04
1964,3,2.283,-2.92
1964,4,3.1839,-1.8
1964,5,-2.5778,-2.35
1964,6,-2.2614,-2.91
1964,7,-1.2052,-3.43
1964,8,2.4249,-2.46
1964,9,1.5417,-1.7
1964,10,-3.05,-2.15
1964,11,-0.67565,-2.3
1964,12,-0.92493,-2.42
1965,1,0.28275,-2.16
1965,2,1.4691,-1.51
1965,3,-0.31696,-1.24
1965,4,-2.3761,-1.92
1965,5,-0.25783,-1.93
1965,6,0.068551,0.07
1965,7,-0.71522,-0.09
1965,8,-0.24507,-0.12
1965,9,4.0117,1.29
1965,10,-3.35,-0.58
1965,11,-2.8757,-1.35
1965,12,-2.2649,-1.99
1966,1,0.56275,-1.73
1966,2,1.8791,-0.98
1966,3,-3.857,-2.06
1966,4,3.5739,-0.81
1966,5,-1.3178,-0.97
1966,6,-3.0114,-1.73
1966,7,-0.38522,-2.03
1966,8,3.2349,-0.74
1966,9,-1.3383,-0.85
1966,10,-1.13,-0.9
1966,11,-2.4557,-1.55
1966,12,-0.27493,-1.58
1967,1,-2.1772,-2.06
1967,2,-1.7609,-2.4
1967,3,-2.297,-3.05
