%Arkansas hybrid precipitation index. alpha = 0; beta = 0; lagmax = 100
%year,month,tau=3,tau=10,tau=20,tau=36
1948,1,NaN,NaN,NaN,NaN
1948,2,NaN,NaN,NaN,NaN
1948,3,NaN,NaN,NaN,NaN
1948,4,NaN,NaN,NaN,NaN
1948,5,NaN,NaN,NaN,NaN
1948,6,NaN,NaN,NaN,NaN
1948,7,NaN,NaN,NaN,NaN
1948,8,NaN,NaN,NaN,NaN
1948,9,NaN,NaN,NaN,NaN
1948,10,NaN,NaN,NaN,NaN
1948,11,NaN,NaN,NaN,NaN
1948,12,NaN,NaN,NaN,NaN
1949,1,NaN,NaN,NaN,NaN
1949,2,NaN,NaN,NaN,NaN
1949,3,NaN,NaN,NaN,NaN
1949,4,NaN,NaN,NaN,NaN
1949,5,NaN,NaN,NaN,NaN
1949,6,NaN,NaN,NaN,NaN
1949,7,NaN,NaN,NaN,NaN
1949,8,NaN,NaN,NaN,NaN
1949,9,NaN,NaN,NaN,NaN
1949,10,NaN,NaN,NaN,NaN
1949,11,NaN,NaN,NaN,NaN
1949,12,NaN,NaN,NaN,NaN
1950,1,NaN,NaN,NaN,NaN
1950,2,NaN,NaN,NaN,NaN
1950,3,NaN,NaN,NaN,NaN
1950,4,NaN,NaN,NaN,NaN
1950,5,NaN,NaN,NaN,NaN
1950,6,NaN,NaN,NaN,NaN
1950,7,NaN,NaN,NaN,NaN
1950,8,NaN,NaN,NaN,NaN
1950,9,NaN,NaN,NaN,NaN
1950,10,NaN,NaN,NaN,NaN
1950,11,NaN,NaN,NaN,NaN
1950,12,NaN,NaN,NaN,NaN
1951,1,NaN,NaN,NaN,NaN
1951,2,NaN,NaN,NaN,NaN
1951,3,NaN,NaN,NaN,NaN
1951,4,NaN,NaN,NaN,NaN
1951,5,NaN,NaN,NaN,NaN
1951,6,NaN,NaN,NaN,NaN
1951,7,NaN,NaN,NaN,NaN
1951,8,NaN,NaN,NaN,NaN
1951,9,NaN,NaN,NaN,NaN
1951,10,NaN,NaN,NaN,NaN
1951,11,NaN,NaN,NaN,NaN
1951,12,NaN,NaN,NaN,NaN
1952,1,NaN,NaN,NaN,NaN
1952,2,NaN,NaN,NaN,NaN
1952,3,NaN,NaN,NaN,NaN
1952,4,NaN,NaN,NaN,NaN
1952,5,NaN,NaN,NaN,NaN
1952,6,NaN,NaN,NaN,NaN
1952,7,NaN,NaN,NaN,NaN
1952,8,NaN,NaN,NaN,NaN
1952,9,NaN,NaN,NaN,NaN
1952,10,NaN,NaN,NaN,NaN
1952,11,NaN,NaN,NaN,NaN
1952,12,NaN,NaN,NaN,NaN
1953,1,NaN,NaN,NaN,NaN
1953,2,NaN,NaN,NaN,NaN
1953,3,NaN,NaN,NaN,NaN
1953,4,NaN,NaN,NaN,NaN
1953,5,NaN,NaN,NaN,NaN
1953,6,NaN,NaN,NaN,NaN
1953,7,NaN,NaN,NaN,NaN
1953,8,NaN,NaN,NaN,NaN
1953,9,NaN,NaN,NaN,NaN
1953,10,NaN,NaN,NaN,NaN
1953,11,NaN,NaN,NaN,NaN
1953,12,NaN,NaN,NaN,NaN
1954,1,NaN,NaN,NaN,NaN
1954,2,NaN,NaN,NaN,NaN
1954,3,NaN,NaN,NaN,NaN
1954,4,NaN,NaN,NaN,NaN
1954,5,NaN,NaN,NaN,NaN
1954,6,NaN,NaN,NaN,NaN
1954,7,NaN,NaN,NaN,NaN
1954,8,NaN,NaN,NaN,NaN
1954,9,NaN,NaN,NaN,NaN
1954,10,NaN,NaN,NaN,NaN
1954,11,NaN,NaN,NaN,NaN
1954,12,NaN,NaN,NaN,NaN
1955,1,NaN,NaN,NaN,NaN
1955,2,NaN,NaN,NaN,NaN
1955,3,NaN,NaN,NaN,NaN
1955,4,NaN,NaN,NaN,NaN
1955,5,NaN,NaN,NaN,NaN
1955,6,NaN,NaN,NaN,NaN
1955,7,NaN,NaN,NaN,NaN
1955,8,NaN,NaN,NaN,NaN
1955,9,NaN,NaN,NaN,NaN
1955,10,NaN,NaN,NaN,NaN
1955,11,NaN,NaN,NaN,NaN
1955,12,NaN,NaN,NaN,NaN
1956,1,NaN,NaN,NaN,NaN
1956,2,NaN,NaN,NaN,NaN
1956,3,NaN,NaN,NaN,NaN
1956,4,NaN,NaN,NaN,NaN
1956,5,-0.8400,-0.6968,-0.6330,-0.5022
1956,6,-0.6306,-0.6402,-0.6071,-0.4910
1956,7,-0.6971,-0.6616,-0.6207,-0.5073
1956,8,-0.7759,-0.6914,-0.6386,-0.5235
1956,9,-1.3180,-0.8815,-0.7390,-0.5851
1956,10,-1.2591,-0.9032,-0.7573,-0.6008
1956,11,-1.0880,-0.8797,-0.7527,-0.6044
1956,12,-1.2544,-0.9553,-0.7983,-0.6370
1957,1,-0.2063,-0.6320,-0.6397,-0.5498
1957,2,0.2119,-0.4510,-0.5454,-0.4929
1957,3,-0.0826,-0.4868,-0.5589,-0.5009
1957,4,1.8894,0.2137,-0.1947,-0.2895
1957,5,2.2360,0.4895,-0.0323,-0.1898
1957,6,2.0893,0.6065,0.0516,-0.1457
1957,7,1.5580,0.5692,0.0597,-0.1354
1957,8,1.4720,0.6345,0.1181,-0.0966
1957,9,1.3614,0.6770,0.1661,-0.0587
1957,10,1.1824,0.6821,0.1940,-0.0349
1957,11,2.1382,1.0506,0.4077,0.0965
1957,12,1.2019,0.8397,0.3304,0.0589
1958,1,0.6721,0.6963,0.2816,0.0381
1958,2,-0.0346,0.4568,0.1788,-0.0146
1958,3,0.1575,0.4745,0.2000,-0.0044
1958,4,0.7461,0.6419,0.3012,0.0683
1958,5,1.0936,0.7685,0.3831,0.1228
1958,6,1.3728,0.8932,0.4645,0.1690
1958,7,1.5406,0.9952,0.5375,0.2170
1958,8,1.1308,0.9095,0.5159,0.2139
1958,9,1.6498,1.1048,0.6367,0.2975
1958,10,0.5103,0.7741,0.4887,0.2166
1958,11,0.6617,0.7998,0.5162,0.2419
1958,12,-0.4911,0.3997,0.3231,0.1313
1959,1,-0.7366,0.2325,0.2395,0.0816
1959,2,-0.3296,0.2769,0.2617,0.0968
1959,3,-0.4649,0.1737,0.2099,0.0740
1959,4,-0.7289,0.0244,0.1318,0.0353
1959,5,-1.0772,-0.1643,0.0303,-0.0174
1959,6,-0.4605,-0.0441,0.0821,0.0115
1959,7,0.1136,0.1090,0.1545,0.0547
1959,8,-0.0136,0.0668,0.1313,0.0477
1959,9,0.1495,0.1139,0.1526,0.0639
1959,10,0.0760,0.0926,0.1409,0.0652
1959,11,-0.4234,-0.0767,0.0504,0.0094
1959,12,0.0694,0.0558,0.1119,0.0439
1960,1,0.0392,0.0469,0.1048,0.0429
1960,2,-0.1394,-0.0138,0.0704,0.0226
1960,3,-0.5668,-0.1692,-0.0139,-0.0261
1960,4,-1.1845,-0.4144,-0.1482,-0.1066
1960,5,-0.6582,-0.3110,-0.1079,-0.0835
1960,6,-0.0638,-0.1445,-0.0321,-0.0397
1960,7,-0.1549,-0.1674,-0.0495,-0.0500
1960,8,-0.1351,-0.1596,-0.0514,-0.0521
1960,9,-0.2579,-0.1985,-0.0771,-0.0687
1960,10,-0.3067,-0.2205,-0.0940,-0.0771
1960,11,-0.7373,-0.3733,-0.1779,-0.1221
1960,12,-0.1952,-0.2259,-0.1112,-0.0821
1961,1,-0.8449,-0.4411,-0.2278,-0.1523
1961,2,-0.3335,-0.3078,-0.1691,-0.1171
1961,3,0.7313,0.0472,0.0082,-0.0086
1961,4,-0.0135,-0.1377,-0.0861,-0.0680
1961,5,0.5749,0.0716,0.0196,-0.0048
1961,6,0.2188,0.0000,-0.0149,-0.0246
1961,7,0.7818,0.2098,0.0942,0.0411
1961,8,0.6863,0.2322,0.1107,0.0487
1961,9,0.2484,0.1284,0.0624,0.0182
1961,10,-0.3832,-0.0723,-0.0386,-0.0446
1961,11,0.3021,0.1282,0.0642,0.0217
1961,12,0.7735,0.3030,0.1572,0.0769
1962,1,0.9179,0.3963,0.2131,0.1153
1962,2,1.0741,0.4984,0.2757,0.1599
1962,3,0.5522,0.3780,0.2253,0.1375
1962,4,-0.1560,0.1568,0.1196,0.0812
1962,5,-1.0012,-0.1567,-0.0399,-0.0105
1962,6,-0.3351,-0.0135,0.0275,0.0248
1962,7,-0.3833,-0.0603,0.0018,0.0119
1962,8,-0.2931,-0.0607,-0.0006,0.0148
1962,9,0.4169,0.1555,0.1083,0.0808
1962,10,0.5057,0.2102,0.1388,0.0993
1962,11,-0.3508,-0.0492,0.0093,0.0277
1962,12,-1.0550,-0.3143,-0.1295,-0.0517
1963,1,-1.5290,-0.5439,-0.2565,-0.1267
1963,2,-1.7847,-0.7235,-0.3629,-0.1918
1963,3,-1.3799,-0.6886,-0.3630,-0.1984
1963,4,-1.3590,-0.7474,-0.4084,-0.2256
1963,5,-1.5146,-0.8578,-0.4822,-0.2752
1963,6,-1.3011,-0.8486,-0.4954,-0.2863
1963,7,-0.6361,-0.6684,-0.4202,-0.2493
1963,8,-0.8711,-0.7443,-0.4719,-0.2867
1963,9,-1.1623,-0.8541,-0.5420,-0.3339
1963,10,-1.8845,-1.1259,-0.6980,-0.4348
1963,11,-1.5220,-1.0764,-0.6936,-0.4401
1963,12,-1.5426,-1.1257,-0.7381,-0.4745
1964,1,-1.7849,-1.2467,-0.8196,-0.5307
1964,2,-1.5485,-1.2186,-0.8261,-0.5427
1964,3,-0.4624,-0.8853,-0.6733,-0.4590
1964,4,0.5712,-0.4981,-0.4834,-0.3490
1964,5,-0.3214,-0.6960,-0.5853,-0.4089
1964,6,-0.8713,-0.8450,-0.6677,-0.4630
1964,7,-0.9660,-0.8793,-0.6958,-0.4938
1964,8,-0.0048,-0.5648,-0.5420,-0.4052
1964,9,0.4336,-0.3643,-0.4398,-0.3483
1964,10,-0.5539,-0.6199,-0.5675,-0.4244
1964,11,-0.5884,-0.6252,-0.5729,-0.4323
1964,12,-0.6838,-0.6538,-0.5901,-0.4459
1965,1,-0.4098,-0.5646,-0.5471,-0.4237
1965,2,0.1228,-0.3711,-0.4475,-0.3646
1965,3,-0.0019,-0.3659,-0.4409,-0.3619
1965,4,-0.6749,-0.5572,-0.5358,-0.4201
1965,5,-0.5567,-0.5287,-0.5218,-0.4131
1965,6,-0.3794,-0.4719,-0.4938,-0.4041
1965,7,-0.4746,-0.4951,-0.5052,-0.4161
1965,8,-0.4095,-0.4713,-0.4923,-0.4104
1965,9,0.8437,-0.0447,-0.2735,-0.2943
1965,10,-0.3451,-0.3592,-0.4256,-0.3894
1965,11,-1.0624,-0.5987,-0.5466,-0.4657
1965,12,-1.4033,-0.7573,-0.6311,-0.5193
1966,1,-0.8460,-0.6317,-0.5731,-0.4909
1966,2,-0.0735,-0.3927,-0.4533,-0.4246
1966,3,-1.1460,-0.7224,-0.6207,-0.5267
1966,4,0.1919,-0.3136,-0.4165,-0.4161
1966,5,-0.2360,-0.4091,-0.4605,-0.4410
1966,6,-1.0228,-0.6568,-0.5856,-0.5156
1966,7,-0.8420,-0.6309,-0.5754,-0.5095
1966,8,0.3136,-0.2631,-0.3887,-0.4023
1966,9,-0.1546,-0.3654,-0.4362,-0.4343
1966,10,-0.4311,-0.4382,-0.4710,-0.4588
1966,11,-1.0050,-0.6302,-0.5692,-0.5215
1966,12,-0.7981,-0.5964,-0.5556,-0.5187
1967,1,-1.1890,-0.7468,-0.6354,-0.5681
