%year,month,precipitation anomalies, PDSI
1948,1,-0.51942,-2.65
1948,2,0.81754,-1.99
1948,3,0.44319,-1.42
1948,4,-0.70232,-1.6
1948,5,-1.9287,-1.99
1948,6,-1.2641,-2.13
1948,7,0.13841,-1.74
1948,8,-1.4268,-2.17
1948,9,-1.3145,-2.8
1948,10,-0.46536,-2.82
1948,11,0.97681,0.07
1948,12,0.43275,0.2
1949,1,1.8006,1.21
1949,2,-0.16246,1.19
1949,3,0.41319,1.46
1949,4,-2.0523,-0.67
1949,5,-1.5687,-1.26
1949,6,0.75594,-0.89
1949,7,-0.59159,-0.93
1949,8,-1.7568,-1.54
1949,9,-0.14449,-1.47
1949,10,-0.46536,-1.67
1949,11,-1.2432,-2.43
1949,12,-0.15725,-2.58
1950,1,0.60058,0.05
1950,2,0.47754,0.25
1950,3,-1.0368,-0.4
1950,4,-0.59232,0.33
1950,5,0.6513,0.78
1950,6,0.96594,1.28
1950,7,0.31841,1.76
1950,8,-1.6468,-0.19
1950,9,-1.2545,-0.52
1950,10,-1.1254,-1.08
1950,11,-1.1732,-1.51
1950,12,-0.49725,-1.74
1951,1,-0.28942,-1.9
1951,2,1.3675,0.8
1951,3,2.1132,1.99
1951,4,1.5277,3
1951,5,0.7413,3.08
1951,6,1.3959,3.69
1951,7,0.37841,3.85
1951,8,2.1232,4.68
1951,9,-0.87449,4.31
1951,10,0.88464,4.59
1951,11,-0.45319,4.4
1951,12,-0.27725,4.06
1952,1,0.41058,4
1952,2,-0.40246,3.55
1952,3,1.1532,3.97
1952,4,-1.4923,3.12
1952,5,-0.4187,2.86
1952,6,0.59594,2.69
1952,7,-0.37159,2.51
1952,8,0.64319,2.78
1952,9,-2.4945,-0.88
1952,10,-2.3654,-1.62
1952,11,0.98681,-1.26
1952,12,-0.067246,-1.17
1953,1,-0.15942,-1.15
1953,2,0.60754,0.55
1953,3,0.85319,1.03
1953,4,-0.20232,1.37
1953,5,-1.8687,-0.57
1953,6,0.44594,-0.4
1953,7,-0.83159,-0.49
1953,8,-1.7368,-1.14
1953,9,-2.4245,-2.19
1953,10,-1.9054,-3.21
1953,11,-0.41319,-3.72
1953,12,0.092754,-3.77
1954,1,-0.65942,-4.21
1954,2,0.37754,-4.08
1954,3,-0.31681,-4.11
1954,4,1.0077,0.35
1954,5,-0.4387,0.57
1954,6,1.6059,1.11
1954,7,-2.3516,0.15
1954,8,3.0332,1.35
1954,9,-1.1545,0.8
1954,10,1.7746,1.61
1954,11,-1.5032,-0.48
1954,12,-0.52725,-0.56
1955,1,0.00057971,-0.4
1955,2,0.24754,-0.01
1955,3,-1.0968,-0.35
1955,4,0.13768,-0.36
1955,5,-1.5287,-0.95
1955,6,-1.8041,-1.34
1955,7,-0.69159,-1.66
1955,8,-2.1668,-2.7
1955,9,-0.29449,-3.02
1955,10,-0.90536,-3.37
1955,11,-1.5032,-4.17
