%year,month,precipitation anomalies, PDSI
1948,1,-0.92043,0.58
1948,2,2.0143,1.27
1948,3,-1.311,0.78
1948,4,0.93275,1.4
1948,5,3.5697,3.16
1948,6,1.3158,3.41
1948,7,0.91116,4.06
1948,8,0.79,4.57
1948,9,0.97246,4.72
1948,10,-1.1768,4.15
1948,11,1.5333,4.34
1948,12,1.501,4.38
1949,1,-4.9004,2.54
1949,2,4.1143,3.79
1949,3,-1.181,-0.41
1949,4,-1.4172,-1.02
1949,5,-0.93029,-1.45
1949,6,-1.0342,-1.9
1949,7,-0.16884,-2.18
1949,8,-0.45,-2.33
1949,9,-0.077536,-2.26
1949,10,-0.39681,-2.09
1949,11,1.3233,0.36
1949,12,0.49101,0.46
1950,1,1.1196,0.8
1950,2,2.3243,1.58
1950,3,2.689,2.66
1950,4,0.33275,2.8
1950,5,-1.0903,2.2
1950,6,0.2058,2.07
1950,7,0.011159,1.88
1950,8,0.07,1.72
1950,9,-0.65754,1.13
1950,10,4.1232,2.59
1950,11,1.0833,2.86
1950,12,0.64101,2.67
1951,1,1.6696,2.94
1951,2,2.2343,3.45
1951,3,-0.0010145,3.37
1951,4,-2.2172,-0.99
1951,5,-0.27029,-1.03
1951,6,-0.6042,-1.32
1951,7,-0.49884,-1.79
1951,8,0.05,-1.74
1951,9,0.26246,0.01
1951,10,2.5832,0.96
1951,11,-0.44667,0.91
1951,12,-0.62899,-0.24
1952,1,-1.0904,-0.48
1952,2,-1.2757,-0.89
1952,3,-1.411,-1.23
1952,4,-1.2572,-1.67
1952,5,-0.94029,-1.89
1952,6,0.5558,-1.42
1952,7,-0.54884,-1.51
1952,8,-0.41,-1.65
1952,9,-1.2575,-2.26
1952,10,-2.9868,-3.34
1952,11,-4.8667,-4.37
1952,12,-0.018986,-0.05
1953,1,7.8396,2.23
1953,2,-0.82565,1.6
1953,3,-0.89101,1.11
1953,4,-0.14725,1.09
1953,5,0.57971,1.44
1953,6,0.4258,1.69
1953,7,-0.52884,1.71
1953,8,0.56,1.98
1953,9,-0.077536,1.7
1953,10,-0.69681,1.26
1953,11,-0.19667,1.07
1953,12,1.481,1.36
1954,1,3.3596,2.26
1954,2,1.0843,2.35
1954,3,-1.811,1.58
1954,4,-0.087246,1.63
1954,5,-0.84029,1.14
1954,6,0.8058,1.53
1954,7,0.34116,1.86
1954,8,0.9,2.48
1954,9,0.10246,2.36
1954,10,-1.1868,-0.21
1954,11,0.57333,-0.05
1954,12,-1.339,-0.53
1955,1,-3.1304,-1.34
1955,2,-0.44565,-1.34
1955,3,0.048986,0.36
1955,4,1.4028,1.36
1955,5,-0.51029,1.27
1955,6,-0.3942,0.99
1955,7,1.3912,1.78
1955,8,-1.03,1.37
1955,9,-0.047536,1.2
1955,10,3.1332,2.3
1955,11,2.6833,3.19
1955,12,2.501,3.69
1956,1,1.9796,3.95
1956,2,-0.43565,3.4
1956,3,1.669,3.92
1956,4,-2.3472,-1.1
1956,5,-1.0903,-1.7
1956,6,1.1158,-1.11
1956,7,-0.33884,-1.37
1956,8,0.38,0.09
1956,9,0.32246,0.17
1956,10,2.4132,1.09
1956,11,-3.9867,-0.98
1956,12,-0.0089855,-0.9
1957,1,-3.0804,-1.66
1957,2,0.66435,0.26
1957,3,1.729,1.01
1957,4,-0.58725,-0.23
1957,5,0.30971,0.05
1957,6,0.035797,0.05
1957,7,-0.018841,0.12
1957,8,-0.05,0.21
1957,9,-0.94754,-0.59
1957,10,0.073188,-0.45
1957,11,-3.0867,-1.22
1957,12,0.85101,0.19
1958,1,0.93957,0.45
1958,2,1.5143,0.71
1958,3,-1.671,0.04
1958,4,1.6628,0.94
1958,5,-1.2603,-0.83
1958,6,0.095797,-1.1
1958,7,-0.40884,-1.82
1958,8,-0.68,-2.41
1958,9,0.032464,-2.25
1958,10,-0.096812,-2.19
1958,11,2.8133,0.97
1958,12,0.11101,0.83
1959,1,2.3596,1.49
1959,2,-0.93565,1.01
1959,3,0.19899,1.05
1959,4,0.34275,1.17
1959,5,0.05971,1.31
1959,6,0.0057971,1.23
1959,7,-0.41884,1.11
1959,8,-0.14,0.96
1959,9,3.1525,2.42
1959,10,0.37319,2.73
1959,11,0.053333,2.71
1959,12,-1.599,1.86
1960,1,-1.8904,1.16
1960,2,0.48435,1.19
1960,3,0.34899,1.3
1960,4,0.90275,1.7
1960,5,1.8197,2.63
1960,6,-0.9342,-0.41
1960,7,-0.89884,-0.94
1960,8,0.84,-0.52
1960,9,-0.67754,-0.87
1960,10,0.033188,-0.85
1960,11,2.0233,-0.05
1960,12,-2.989,-1.09
1961,1,0.46957,0.18
1961,2,5.4243,1.96
