%Iowa hybrid precipitation index. alpha = 0; beta = 0; lagmax = 100
%year,month,tau=3,tau=10,tau=20,tau=36
1948,1,nan,nan,nan,nan
1948,2,nan,nan,nan,nan
1948,3,nan,nan,nan,nan
1948,4,nan,nan,nan,nan
1948,5,nan,nan,nan,nan
1948,6,nan,nan,nan,nan
1948,7,nan,nan,nan,nan
1948,8,nan,nan,nan,nan
1948,9,nan,nan,nan,nan
1948,10,nan,nan,nan,nan
1948,11,nan,nan,nan,nan
1948,12,nan,nan,nan,nan
1949,1,nan,nan,nan,nan
1949,2,nan,nan,nan,nan
1949,3,nan,nan,nan,nan
1949,4,nan,nan,nan,nan
1949,5,nan,nan,nan,nan
1949,6,nan,nan,nan,nan
1949,7,nan,nan,nan,nan
1949,8,nan,nan,nan,nan
1949,9,nan,nan,nan,nan
1949,10,nan,nan,nan,nan
1949,11,nan,nan,nan,nan
1949,12,nan,nan,nan,nan
1950,1,nan,nan,nan,nan
1950,2,nan,nan,nan,nan
1950,3,nan,nan,nan,nan
1950,4,nan,nan,nan,nan
1950,5,nan,nan,nan,nan
1950,6,nan,nan,nan,nan
1950,7,nan,nan,nan,nan
1950,8,nan,nan,nan,nan
1950,9,nan,nan,nan,nan
1950,10,nan,nan,nan,nan
1950,11,nan,nan,nan,nan
1950,12,nan,nan,nan,nan
1951,1,nan,nan,nan,nan
1951,2,nan,nan,nan,nan
1951,3,nan,nan,nan,nan
1951,4,nan,nan,nan,nan
1951,5,nan,nan,nan,nan
1951,6,nan,nan,nan,nan
1951,7,nan,nan,nan,nan
1951,8,nan,nan,nan,nan
1951,9,nan,nan,nan,nan
1951,10,nan,nan,nan,nan
1951,11,nan,nan,nan,nan
1951,12,nan,nan,nan,nan
1952,1,nan,nan,nan,nan
1952,2,nan,nan,nan,nan
1952,3,nan,nan,nan,nan
1952,4,nan,nan,nan,nan
1952,5,nan,nan,nan,nan
1952,6,nan,nan,nan,nan
1952,7,nan,nan,nan,nan
1952,8,nan,nan,nan,nan
1952,9,nan,nan,nan,nan
1952,10,nan,nan,nan,nan
1952,11,nan,nan,nan,nan
1952,12,nan,nan,nan,nan
1953,1,nan,nan,nan,nan
1953,2,nan,nan,nan,nan
1953,3,nan,nan,nan,nan
1953,4,nan,nan,nan,nan
1953,5,nan,nan,nan,nan
1953,6,nan,nan,nan,nan
1953,7,nan,nan,nan,nan
1953,8,nan,nan,nan,nan
1953,9,nan,nan,nan,nan
1953,10,nan,nan,nan,nan
1953,11,nan,nan,nan,nan
1953,12,nan,nan,nan,nan
1954,1,nan,nan,nan,nan
1954,2,nan,nan,nan,nan
1954,3,nan,nan,nan,nan
1954,4,nan,nan,nan,nan
1954,5,nan,nan,nan,nan
1954,6,nan,nan,nan,nan
1954,7,nan,nan,nan,nan
1954,8,nan,nan,nan,nan
1954,9,nan,nan,nan,nan
1954,10,nan,nan,nan,nan
1954,11,nan,nan,nan,nan
1954,12,nan,nan,nan,nan
1955,1,nan,nan,nan,nan
1955,2,nan,nan,nan,nan
1955,3,nan,nan,nan,nan
1955,4,nan,nan,nan,nan
1955,5,nan,nan,nan,nan
1955,6,nan,nan,nan,nan
1955,7,nan,nan,nan,nan
1955,8,nan,nan,nan,nan
1955,9,nan,nan,nan,nan
1955,10,nan,nan,nan,nan
1955,11,nan,nan,nan,nan
1955,12,nan,nan,nan,nan
1956,1,nan,nan,nan,nan
1956,2,nan,nan,nan,nan
1956,3,nan,nan,nan,nan
1956,4,nan,nan,nan,nan
1956,5,-0.9950,-0.7957,-0.6032,-0.4691
1956,6,-1.3349,-0.9287,-0.6813,-0.5193
1956,7,-0.8521,-0.8053,-0.6302,-0.4958
1956,8,-0.4849,-0.6865,-0.5779,-0.4701
1956,9,-0.8590,-0.7929,-0.6380,-0.5086
1956,10,-0.8948,-0.8112,-0.6547,-0.5200
1956,11,-0.5598,-0.7067,-0.6083,-0.4951
1956,12,-0.6073,-0.7087,-0.6144,-0.5030
1957,1,-0.5314,-0.6735,-0.6006,-0.4966
1957,2,-0.5827,-0.6772,-0.6059,-0.5015
1957,3,-0.4705,-0.6306,-0.5853,-0.4924
1957,4,-0.5759,-0.6507,-0.5984,-0.5052
1957,5,-0.2138,-0.5221,-0.5350,-0.4716
1957,6,-0.1600,-0.4747,-0.5106,-0.4626
1957,7,-0.2625,-0.4791,-0.5113,-0.4648
1957,8,-0.2722,-0.4618,-0.5010,-0.4615
1957,9,-0.3778,-0.4792,-0.5076,-0.4640
1957,10,-0.1673,-0.3989,-0.4644,-0.4379
1957,11,0.0946,-0.2889,-0.4049,-0.4052
1957,12,0.0488,-0.2678,-0.3883,-0.3950
1958,1,-0.0216,-0.2613,-0.3786,-0.3869
1958,2,-0.1777,-0.2909,-0.3881,-0.3927
1958,3,-0.5545,-0.4066,-0.4430,-0.4251
1958,4,-0.7183,-0.4757,-0.4766,-0.4443
1958,5,-1.1493,-0.6434,-0.5632,-0.4971
1958,6,-1.0883,-0.6711,-0.5818,-0.5118
1958,7,0.0758,-0.3200,-0.4054,-0.4106
1958,8,-0.3926,-0.4396,-0.4627,-0.4435
1958,9,-0.3591,-0.4239,-0.4534,-0.4383
1958,10,-0.6727,-0.5230,-0.5034,-0.4702
1958,11,-0.5170,-0.4850,-0.4852,-0.4626
1958,12,-0.6531,-0.5337,-0.5106,-0.4795
1959,1,-0.5047,-0.4952,-0.4915,-0.4673
1959,2,-0.2858,-0.4226,-0.4540,-0.4445
1959,3,0.1250,-0.2717,-0.3745,-0.3964
1959,4,-0.0613,-0.2965,-0.3820,-0.3990
1959,5,0.9032,0.0497,-0.1992,-0.2897
1959,6,0.4363,-0.0259,-0.2259,-0.3030
1959,7,-0.1868,-0.1910,-0.3018,-0.3485
1959,8,0.1109,-0.0907,-0.2453,-0.3175
1959,9,0.3645,0.0136,-0.1845,-0.2822
1959,10,0.4184,0.0651,-0.1485,-0.2596
1959,11,0.3329,0.0700,-0.1360,-0.2515
1959,12,0.3867,0.1131,-0.1038,-0.2300
1960,1,0.6429,0.2251,-0.0361,-0.1898
1960,2,0.4940,0.2149,-0.0283,-0.1797
1960,3,0.2046,0.1443,-0.0530,-0.1917
1960,4,0.1205,0.1218,-0.0548,-0.1883
1960,5,0.5544,0.2674,0.0290,-0.1345
1960,6,0.2544,0.1939,0.0027,-0.1463
1960,7,-0.1980,0.0478,-0.0631,-0.1807
1960,8,0.2332,0.1692,0.0045,-0.1392
1960,9,0.2197,0.1707,0.0139,-0.1273
1960,10,0.0992,0.1350,0.0033,-0.1291
1960,11,-0.1538,0.0466,-0.0360,-0.1497
1960,12,-0.2880,-0.0175,-0.0649,-0.1632
1961,1,-0.3848,-0.0757,-0.0929,-0.1783
1961,2,-0.0921,-0.0069,-0.0558,-0.1501
1961,3,0.5443,0.1987,0.0534,-0.0790
1961,4,0.0010,0.0492,-0.0169,-0.1186
1961,5,-0.5205,-0.1305,-0.1063,-0.1689
1961,6,-0.7738,-0.2526,-0.1705,-0.2052
1961,7,-0.1609,-0.0965,-0.0942,-0.1602
1961,8,-0.4007,-0.1831,-0.1393,-0.1866
1961,9,0.8228,0.2069,0.0598,-0.0670
1961,10,0.7666,0.2467,0.0881,-0.0436
1961,11,0.8943,0.3390,0.1434,-0.0078
1961,12,0.7096,0.3299,0.1486,0.0010
1962,1,0.4349,0.2738,0.1291,-0.0035
1962,2,0.5916,0.3417,0.1721,0.0296
1962,3,0.3029,0.2686,0.1433,0.0197
1962,4,-0.2258,0.0944,0.0598,-0.0256
1962,5,0.2099,0.2102,0.1212,0.0131
1962,6,-0.3355,0.0270,0.0314,-0.0360
1962,7,0.3403,0.2194,0.1303,0.0240
1962,8,0.2816,0.2112,0.1305,0.0278
1962,9,-0.1312,0.0793,0.0662,-0.0090
1962,10,0.0264,0.1122,0.0840,0.0044
1962,11,-0.3165,-0.0111,0.0213,-0.0330
1962,12,-0.4726,-0.0926,-0.0216,-0.0533
1963,1,-0.4094,-0.1075,-0.0337,-0.0644
1963,2,-0.4329,-0.1441,-0.0559,-0.0750
1963,3,-0.1647,-0.0816,-0.0285,-0.0611
1963,4,-0.1839,-0.0959,-0.0381,-0.0635
1963,5,-0.5226,-0.2180,-0.1037,-0.1011
1963,6,-0.9794,-0.4003,-0.2034,-0.1605
1963,7,-0.3167,-0.2330,-0.1269,-0.1170
1963,8,-0.2969,-0.2343,-0.1325,-0.1190
1963,9,-0.4606,-0.2952,-0.1690,-0.1415
1963,10,-0.7001,-0.3913,-0.2243,-0.1730
1963,11,-0.6131,-0.3915,-0.2321,-0.1765
1963,12,-0.6540,-0.4263,-0.2578,-0.1926
1964,1,-0.6102,-0.4333,-0.2690,-0.1980
1964,2,-0.6477,-0.4627,-0.2923,-0.2137
1964,3,-0.6276,-0.4736,-0.3060,-0.2231
1964,4,0.0514,-0.2603,-0.2039,-0.1628
1964,5,-0.0280,-0.2573,-0.2049,-0.1637
1964,6,0.0497,-0.2094,-0.1827,-0.1512
1964,7,0.0040,-0.2001,-0.1791,-0.1494
1964,8,-0.0530,-0.1997,-0.1797,-0.1491
1964,9,0.3066,-0.0651,-0.1108,-0.1071
1964,10,-0.3771,-0.2592,-0.2085,-0.1639
1964,11,-0.4242,-0.2862,-0.2243,-0.1714
1964,12,-0.3910,-0.2882,-0.2285,-0.1763
1965,1,-0.1440,-0.2151,-0.1939,-0.1582
1965,2,-0.0358,-0.1720,-0.1722,-0.1438
1965,3,0.1850,-0.0849,-0.1270,-0.1164
1965,4,0.4834,0.0410,-0.0602,-0.0776
1965,5,0.4942,0.0867,-0.0314,-0.0590
1965,6,0.1120,-0.0028,-0.0717,-0.0817
1965,7,-0.1328,-0.0741,-0.1049,-0.1001
1965,8,-0.0546,-0.0534,-0.0927,-0.0929
1965,9,1.8022,0.5698,0.2309,0.1005
1965,10,0.9156,0.3895,0.1544,0.0579
1965,11,0.5304,0.3102,0.1251,0.0434
1965,12,0.5027,0.3219,0.1404,0.0558
1966,1,0.3774,0.2970,0.1366,0.0565
1966,2,0.1762,0.2371,0.1139,0.0464
1966,3,0.0591,0.1920,0.0966,0.0376
1966,4,-0.3637,0.0374,0.0213,-0.0065
1966,5,-0.3651,-0.0012,0.0022,-0.0170
1966,6,-0.0246,0.0785,0.0432,0.0082
1966,7,-0.2647,-0.0120,-0.0015,-0.0164
1966,8,-0.6253,-0.1571,-0.0764,-0.0581
1966,9,-0.9908,-0.3243,-0.1663,-0.1103
1966,10,-0.9297,-0.3672,-0.1955,-0.1260
1966,11,-1.0214,-0.4515,-0.2472,-0.1574
1966,12,-0.7849,-0.4264,-0.2453,-0.1639
1967,1,-0.4857,-0.3601,-0.2196,-0.1487
1967,2,-0.4905,-0.3736,-0.2334,-0.1588
1967,3,-0.4838,-0.3825,-0.2445,-0.1655
1967,4,-0.3530,-0.3482,-0.2336,-0.1614
1967,5,-0.6777,-0.4577,-0.2955,-0.1989
1967,6,0.5904,-0.0529,-0.0947,-0.0826
1967,7,-0.1444,-0.2383,-0.1884,-0.1391
1967,8,-0.4994,-0.3486,-0.2482,-0.1781
1967,9,-0.5660,-0.3853,-0.2720,-0.1937
1967,10,-0.1888,-0.2759,-0.2222,-0.1720
1967,11,-0.4395,-0.3518,-0.2638,-0.1973
1967,12,-0.4105,-0.3504,-0.2669,-0.1986
1968,1,-0.3734,-0.3436,-0.2679,-0.2028
