%Arkansas hybrid precipitation index. alpha = 0; beta = 0; lagmax = 100
%year,month,tau=3,tau=10,tau=20,tau=36
1948,1,nan,nan,nan,nan
1948,2,nan,nan,nan,nan
1948,3,nan,nan,nan,nan
1948,4,nan,nan,nan,nan
1948,5,nan,nan,nan,nan
1948,6,nan,nan,nan,nan
1948,7,nan,nan,nan,nan
1948,8,nan,nan,nan,nan
1948,9,nan,nan,nan,nan
1948,10,nan,nan,nan,nan
1948,11,nan,nan,nan,nan
1948,12,nan,nan,nan,nan
1949,1,nan,nan,nan,nan
1949,2,nan,nan,nan,nan
1949,3,nan,nan,nan,nan
1949,4,nan,nan,nan,nan
1949,5,nan,nan,nan,nan
1949,6,nan,nan,nan,nan
1949,7,nan,nan,nan,nan
1949,8,nan,nan,nan,nan
1949,9,nan,nan,nan,nan
1949,10,nan,nan,nan,nan
1949,11,nan,nan,nan,nan
1949,12,nan,nan,nan,nan
1950,1,nan,nan,nan,nan
1950,2,nan,nan,nan,nan
1950,3,nan,nan,nan,nan
1950,4,nan,nan,nan,nan
1950,5,nan,nan,nan,nan
1950,6,nan,nan,nan,nan
1950,7,nan,nan,nan,nan
1950,8,nan,nan,nan,nan
1950,9,nan,nan,nan,nan
1950,10,nan,nan,nan,nan
1950,11,nan,nan,nan,nan
1950,12,nan,nan,nan,nan
1951,1,nan,nan,nan,nan
1951,2,nan,nan,nan,nan
1951,3,nan,nan,nan,nan
1951,4,nan,nan,nan,nan
1951,5,nan,nan,nan,nan
1951,6,nan,nan,nan,nan
1951,7,nan,nan,nan,nan
1951,8,nan,nan,nan,nan
1951,9,nan,nan,nan,nan
1951,10,nan,nan,nan,nan
1951,11,nan,nan,nan,nan
1951,12,nan,nan,nan,nan
1952,1,nan,nan,nan,nan
1952,2,nan,nan,nan,nan
1952,3,nan,nan,nan,nan
1952,4,nan,nan,nan,nan
1952,5,nan,nan,nan,nan
1952,6,nan,nan,nan,nan
1952,7,nan,nan,nan,nan
1952,8,nan,nan,nan,nan
1952,9,nan,nan,nan,nan
1952,10,nan,nan,nan,nan
1952,11,nan,nan,nan,nan
1952,12,nan,nan,nan,nan
1953,1,nan,nan,nan,nan
1953,2,nan,nan,nan,nan
1953,3,nan,nan,nan,nan
1953,4,nan,nan,nan,nan
1953,5,nan,nan,nan,nan
1953,6,nan,nan,nan,nan
1953,7,nan,nan,nan,nan
1953,8,nan,nan,nan,nan
1953,9,nan,nan,nan,nan
1953,10,nan,nan,nan,nan
1953,11,nan,nan,nan,nan
1953,12,nan,nan,nan,nan
1954,1,nan,nan,nan,nan
1954,2,nan,nan,nan,nan
1954,3,nan,nan,nan,nan
1954,4,nan,nan,nan,nan
1954,5,nan,nan,nan,nan
1954,6,nan,nan,nan,nan
1954,7,nan,nan,nan,nan
1954,8,nan,nan,nan,nan
1954,9,nan,nan,nan,nan
1954,10,nan,nan,nan,nan
1954,11,nan,nan,nan,nan
1954,12,nan,nan,nan,nan
1955,1,nan,nan,nan,nan
1955,2,nan,nan,nan,nan
1955,3,nan,nan,nan,nan
1955,4,nan,nan,nan,nan
1955,5,nan,nan,nan,nan
1955,6,nan,nan,nan,nan
1955,7,nan,nan,nan,nan
1955,8,nan,nan,nan,nan
1955,9,nan,nan,nan,nan
1955,10,nan,nan,nan,nan
1955,11,nan,nan,nan,nan
1955,12,nan,nan,nan,nan
1956,1,nan,nan,nan,nan
1956,2,nan,nan,nan,nan
1956,3,nan,nan,nan,nan
1956,4,nan,nan,nan,nan
1956,5,-0.13,0.30,0.22,0.18
1956,6,0.23,0.38,0.27,0.20
1956,7,0.07,0.31,0.24,0.19
1956,8,0.16,0.32,0.25,0.19
1956,9,0.20,0.32,0.25,0.19
1956,10,0.83,0.52,0.35,0.25
1956,11,-0.54,0.09,0.14,0.13
1956,12,-0.39,0.08,0.13,0.12
1957,1,-1.15,-0.22,-0.03,0.03
1957,2,-0.64,-0.14,0.01,0.05
1957,3,0.03,0.04,0.09,0.09
1957,4,-0.14,-0.02,0.06,0.07
1957,5,-0.01,0.01,0.07,0.09
1957,6,0.00,0.01,0.07,0.08
1957,7,-0.01,0.01,0.07,0.08
1957,8,-0.02,0.00,0.06,0.08
1957,9,-0.28,-0.09,0.01,0.05
1957,10,-0.18,-0.07,0.01,0.05
1957,11,-1.00,-0.36,-0.14,-0.04
1957,12,-0.48,-0.24,-0.09,-0.01
1958,1,-0.08,-0.13,-0.04,0.02
1958,2,0.37,0.03,0.04,0.06
1958,3,-0.21,-0.14,-0.05,0.01
1958,4,0.32,0.04,0.04,0.05
1958,5,-0.12,-0.09,-0.03,0.01
1958,6,-0.06,-0.07,-0.02,0.01
1958,7,-0.16,-0.10,-0.04,0.00
1958,8,-0.31,-0.16,-0.07,-0.03
1958,9,-0.21,-0.14,-0.07,-0.02
1958,10,-0.18,-0.14,-0.07,-0.02
1958,11,0.67,0.15,0.07,0.06
1958,12,0.51,0.14,0.07,0.06
1959,1,1.04,0.35,0.19,0.13
1959,2,0.48,0.23,0.13,0.09
1959,3,0.40,0.23,0.13,0.09
1959,4,0.38,0.24,0.14,0.10
1959,5,0.29,0.22,0.14,0.09
1959,6,0.21,0.20,0.13,0.09
1959,7,0.03,0.14,0.10,0.07
1959,8,-0.02,0.12,0.09,0.07
1959,9,0.88,0.40,0.24,0.16
1959,10,0.74,0.40,0.25,0.17
1959,11,0.54,0.37,0.24,0.17
1959,12,-0.06,0.18,0.15,0.12
1960,1,-0.58,-0.02,0.05,0.06
1960,2,-0.28,0.03,0.07,0.06
1960,3,-0.10,0.06,0.08,0.07
1960,4,0.18,0.14,0.13,0.10
1960,5,0.65,0.30,0.21,0.15
1960,6,0.20,0.18,0.15,0.12
1960,7,-0.11,0.08,0.10,0.10
1960,8,0.16,0.15,0.14,0.12
1960,9,-0.08,0.07,0.10,0.10
1960,10,-0.05,0.07,0.10,0.10
1960,11,0.54,0.26,0.19,0.15
1960,12,-0.46,-0.05,0.03,0.06
1961,1,-0.20,0.00,0.06,0.08
1961,2,1.40,0.51,0.32,0.24
1961,3,1.41,0.60,0.38,0.28
1961,4,1.04,0.55,0.36,0.28
1961,5,0.93,0.56,0.38,0.27
1961,6,0.44,0.44,0.32,0.25
1961,7,0.27,0.38,0.30,0.24
1961,8,0.17,0.33,0.28,0.23
1961,9,-0.03,0.25,0.24,0.20
1961,10,0.00,0.23,0.23,0.20
1961,11,-0.44,0.06,0.14,0.15
1961,12,-0.20,0.10,0.15,0.16
1962,1,-0.96,-0.19,0.01,0.07
1962,2,-1.26,-0.36,-0.09,0.01
1962,3,-0.99,-0.36,-0.10,0.00
1962,4,-0.57,-0.28,-0.08,0.01
1962,5,-0.25,-0.20,-0.05,0.02
1962,6,-0.37,-0.24,-0.08,0.00
1962,7,-0.40,-0.26,-0.09,-0.01
1962,8,-0.02,-0.15,-0.04,0.02
1962,9,0.11,-0.09,-0.02,0.03
1962,10,0.13,-0.07,-0.01,0.03
1962,11,0.74,0.16,0.10,0.10
1962,12,0.07,-0.01,0.02,0.05
1963,1,-1.17,-0.42,-0.20,-0.08
1963,2,-0.70,-0.33,-0.16,-0.06
1963,3,-0.67,-0.36,-0.18,-0.08
1963,4,-0.23,-0.24,-0.13,-0.05
1963,5,-0.34,-0.28,-0.15,-0.06
1963,6,-0.33,-0.28,-0.16,-0.07
1963,7,-0.07,-0.20,-0.12,-0.05
1963,8,-0.05,-0.18,-0.12,-0.05
1963,9,-0.15,-0.20,-0.13,-0.06
1963,10,0.01,-0.14,-0.11,-0.04
1963,11,0.36,-0.01,-0.04,-0.01
1963,12,-0.13,-0.14,-0.11,-0.05
1964,1,0.85,0.19,0.06,0.05
1964,2,-0.12,-0.07,-0.07,-0.03
1964,3,-0.05,-0.05,-0.06,-0.03
1964,4,-0.21,-0.11,-0.09,-0.05
1964,5,-0.43,-0.19,-0.13,-0.08
1964,6,-0.06,-0.09,-0.08,-0.05
1964,7,0.06,-0.05,-0.06,-0.05
1964,8,0.22,0.02,-0.03,-0.02
1964,9,0.24,0.05,-0.01,-0.01
1964,10,-0.37,-0.14,-0.10,-0.07
1964,11,-0.20,-0.10,-0.09,-0.06
1964,12,0.43,0.10,0.02,0.00
1965,1,0.78,0.25,0.10,0.05
1965,2,0.56,0.22,0.09,0.04
1965,3,-0.62,-0.14,-0.09,-0.06
1965,4,-0.40,-0.11,-0.08,-0.05
1965,5,-0.41,-0.15,-0.09,-0.06
1965,6,-0.59,-0.23,-0.14,-0.09
1965,7,-0.47,-0.22,-0.14,-0.09
1965,8,-0.08,-0.12,-0.09,-0.06
1965,9,-0.37,-0.21,-0.14,-0.09
1965,10,-0.69,-0.33,-0.21,-0.13
1965,11,-0.72,-0.38,-0.24,-0.15
1965,12,-0.76,-0.42,-0.27,-0.17
1966,1,-0.40,-0.33,-0.23,-0.15
1966,2,-0.79,-0.47,-0.30,-0.20
1966,3,-0.36,-0.36,-0.25,-0.17
1966,4,-0.72,-0.48,-0.32,-0.21
1966,5,-0.80,-0.53,-0.35,-0.24
1966,6,-0.57,-0.48,-0.34,-0.23
1966,7,-0.20,-0.36,-0.28,-0.20
1966,8,-0.31,-0.38,-0.30,-0.22
1966,9,-0.31,-0.38,-0.30,-0.22
1966,10,-0.28,-0.36,-0.30,-0.22
1966,11,-0.22,-0.33,-0.28,-0.21
1966,12,0.39,-0.12,-0.18,-0.15
1967,1,1.12,0.18,-0.02,-0.06
1967,2,0.55,0.07,-0.06,-0.08
1967,3,0.49,0.10,-0.05,-0.08
1967,4,0.33,0.08,-0.05,-0.08
1967,5,-0.06,-0.02,-0.10,-0.11
1967,6,-0.13,-0.05,-0.11,-0.11
1967,7,-0.30,-0.12,-0.14,-0.13
1967,8,-0.52,-0.21,-0.18,-0.16
1967,9,-0.55,-0.25,-0.21,-0.17
1967,10,0.76,0.16,0.00,-0.05
1967,11,-0.30,-0.13,-0.14,-0.14
1967,12,-0.25,-0.13,-0.14,-0.14
1968,1,0.05,-0.04,-0.09,-0.11
1968,2,0.43,0.09,-0.02,-0.07
1968,3,0.29,0.08,-0.02,-0.07
1968,4,-0.02,-0.01,-0.06,-0.09
1968,5,-0.13,-0.05,-0.08,-0.10
1968,6,0.07,0.01,-0.05,-0.08
1968,7,-0.02,-0.01,-0.06,-0.08
1968,8,0.58,0.19,0.05,-0.02
1968,9,0.58,0.23,0.07,-0.01
1968,10,0.74,0.31,0.13,0.03
1968,11,0.54,0.29,0.12,0.03
1968,12,0.82,0.41,0.19,0.07
1969,1,0.96,0.49,0.25,0.11
1969,2,0.37,0.34,0.18,0.07
1969,3,-0.31,0.11,0.07,0.01
1969,4,-0.02,0.17,0.10,0.03
1969,5,-0.09,0.13,0.09,0.03
1969,6,-0.15,0.09,0.06,0.01
1969,7,-0.23,0.04,0.04,-0.01
1969,8,-0.38,-0.04,0.00,-0.03
1969,9,0.31,0.16,0.10,0.03
1969,10,-0.23,0.00,0.02,-0.02
1969,11,-1.17,-0.34,-0.16,-0.12
1969,12,-0.87,-0.32,-0.15,-0.12
1970,1,0.21,-0.01,0.00,-0.03
1970,2,-0.24,-0.14,-0.07,-0.07
1970,3,-0.64,-0.28,-0.15,-0.11
1970,4,-0.17,-0.16,-0.09,-0.08
1970,5,-0.47,-0.26,-0.14,-0.11
1970,6,-0.60,-0.32,-0.18,-0.13
1970,7,-0.49,-0.32,-0.18,-0.13
